Name,ShortName,ModeAndPID,Equation,Min Value,Max Value,Units,OBD Header,Scale Factor
AA-Catalyst Temperature,"Bank 1, Sensor 2",013E,((A*256)+B)/10 - 40,-40,"6513,5",°C,,x1
AA-Turbo Inlet Pressure EcoD,Turbo Inlet press,016F,B,0,255,kPa,,x1
AA-DPF Pressure,Dpf Pres,017A,Int(B:C),0,100,kPa,Auto,x1
AA-DPF Delta Pressure EcoD,Dpf Delta,017A,((signed(B)*256)+C))/100,"-327,68","327,68",kPa,,x1
AA-DPF Regen Mode,Regen M,018B,{B:0},0,1,Mode,,x1
AA-DPF Regen Type,Regen T,018B,{B:1},0,1,Mode,,x1
AA-DPF Regen AVGT,Dpf AVGT,018B,(D*256)+E,0,65535,Min,,x1
AA-DPF Regen AVGD,Dpf AVGD,018B,(F*256)+G,0,65535,Km,,x1
AA-DPF Capacity,Dpf %,018B,(C*100)/255,0,100,%,,x1
AA-DPF Mode,Reg Mode,222056,A&15,0,100,,,x1
AA-DPF Soot,Dpf Soot,22242C,(A*256+B)/100,0,600,g/l,7E0,x1
AA-DPF Temperature,Dpf Temp,222442,((A*256+B)-2730)/10,-40,1500,°C,7E0,x1
AA-DPF Last Regen,Last Reg,222487,(A*256+B)/600,0,100,Min,7E0,x1
AA-Time from Regen,Time Reg,222488,(A*256+B)/3600,0,18,H,7E0,x1
AA-Km from last Regen,KM Reg,2224A9,A*65536+B*256+C,0,100000,Km,7E0,x1
AA-DPF Pressuew, Dpf pres,222542,(A*256+B)-32768,-32768,32768,mBar,7E0,x1
AA-DPF Inj,Dpf Inj,222826,(A*256+B)/100,0,600,%,7E0,x1
AA-DPF Motor Oil,Dpf Oil,222826,(1.0*((A*256+B)))/655,0,600,%,7E0,x1
AA-Battery Charge,Batt,222958,0.5*A,0,0,%,7E0,x1
AA-Turbo Charge,Batt,222958,(A*256+B),0,0,mbar,7E0,x1
"BB-ABS_Brake_Pedal_State","Brake","22200F","(A&15)","0","2","","7E0","","",1,0
"BB-ABS_Parking_Brake_State","Parking_Brake","22222B","{A:0}","0","1","","7E0","","",1,0
"BB-BMS_Battery_Voltage","Battery_Voltage","222006","(A*256+B)/1000","0","0","V","743","","",1,0
"BB-Cluster_Total_Distance_Traveled","Odometer","222006","(A*65536+B*256+C)","0","0","km","7E0","","",1,0
"BB-Custom_Instant_Fuel_Consumption","Instant_Consumption","","AVG(10:(LOOKUP([0D]:100/[ff1203]:0~30=0)))",0,100,"","","","",1,0
"BB-DPF_Differential_Pressure","DPF_Diff_Pressure","222542","(A*256+B)-32768","0","0","mbar","7E0","","",1,0
"BB-DPF_Passage_Of_Oxygen_ThroughTheDPF","DPF_OxygenVolume","222447","(1.0*((A*256+B)))/10","0","0","m3/h","7E0","","",1,0
"BB-DPF_Temperature_Before_DPF","DPF_TempBeforeDPF","222432","(1.0*((A*256+B)-2730))/10","0","0","°C","7E0","","",1,0
"BB-DPF_Time_Since_Last_Regeneration","DPF_TimeSinceLastRegen","222488","(1.0*(A*256+B))/3600","0","0","h","7E0","","",1,0
"BB-DPF_Time_Since_Last_Regeneration","DPF_TimeSinceLastRegen","222488","(1.0*(A*256+B))/3600","0","0","h","7E0","","",1,0
"BB-ECM_Ambient_Air_Temp","OutsideTemp","22200c","C-40",-40,215,"C","743","","",1,60000
"BB-ECM_Coolant_Pressure","Coolant_Pressure","22222A","(1.0*((A*256+B)))/10","0","0","bar","7E0","","",1,0
"BB-ECM_Coolant_Temperature","Coolant_Temp","222001","(1.0*((A*256+B)-2730))/10","0","0","C","7E0","","",1,0
"BB-ECM_Coolant_Temperature_Sensor_Voltage","Coolant_Temp_Sensor_V","22FD8B","(1.0*((A*256+B)))/6553.6","0","0","V","7E0","","",1,0
"BB-ECM_Cruise_Control_State","CC","22204C","LOOKUP((A&7):0:5=1)","0","1","","7E0","","",1,0
"BB-ECM_Fuel Temperature","Fuel_Temp","222008","(1.0*((A*256+B)-2730))/10","0","0","C","7E0","","",1,0
